Plot Title: 21741107-A,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 21741107, SEN S/N: 21741107)","Intensity, lum/ft² (LGR S/N: 21741107, SEN S/N: 21741107)",Coupler Attached (LGR S/N: 21741107),Host Connected (LGR S/N: 21741107),Stopped (LGR S/N: 21741107),End Of File (LGR S/N: 21741107)
113,7/6/23 14:30,67.735,95,,,,
114,7/6/23 14:45,67.564,98,,,,
115,7/6/23 15:00,67.735,98,,,,
116,7/6/23 15:15,67.906,86,,,,
117,7/6/23 15:30,68.077,72,,,,
118,7/6/23 15:45,68.421,69,,,,
119,7/6/23 16:00,68.763,51,,,,
120,7/6/23 16:15,68.077,47,,,,
121,7/6/23 16:30,68.421,44,,,,
122,7/6/23 16:45,69.107,38,,,,
123,7/6/23 17:00,67.392,35,,,,
124,7/6/23 17:15,67.735,27,,,,
125,7/6/23 17:30,69.622,17,,,,
126,7/6/23 17:45,70.308,11,,,,
127,7/6/23 18:00,69.278,9,,,,
128,7/6/23 18:15,68.421,6,,,,
129,7/6/23 18:30,67.392,2,,,,
130,7/6/23 18:45,67.05,9,,,,
131,7/6/23 19:00,68.077,4,,,,
132,7/6/23 19:15,67.906,3,,,,
133,7/6/23 19:30,67.392,2,,,,
134,7/6/23 19:45,67.564,1,,,,
135,7/6/23 20:00,67.221,0,,,,
136,7/6/23 20:15,67.221,0,,,,
137,7/6/23 20:30,67.392,0,,,,
138,7/6/23 20:45,67.564,0,,,,
139,7/6/23 21:00,67.05,0,,,,
140,7/6/23 21:15,66.879,0,,,,
141,7/6/23 21:30,66.537,0,,,,
142,7/6/23 21:45,66.366,0,,,,
143,7/6/23 22:00,66.366,0,,,,
144,7/6/23 22:15,66.193,0,,,,
145,7/6/23 22:30,66.193,0,,,,
146,7/6/23 22:45,66.022,0,,,,
147,7/6/23 23:00,65.851,0,,,,
148,7/6/23 23:15,66.022,0,,,,
149,7/6/23 23:30,65.851,0,,,,
150,7/6/23 23:45,66.193,0,,,,
151,7/7/23 0:00,67.392,0,,,,
152,7/7/23 0:15,67.735,0,,,,
153,7/7/23 0:30,67.392,0,,,,
154,7/7/23 0:45,66.366,0,,,,
155,7/7/23 1:00,66.879,0,,,,
156,7/7/23 1:15,66.537,0,,,,
157,7/7/23 1:30,66.879,0,,,,
158,7/7/23 1:45,66.879,0,,,,
159,7/7/23 2:00,67.221,0,,,,
160,7/7/23 2:15,67.221,0,,,,
161,7/7/23 2:30,67.221,0,,,,
162,7/7/23 2:45,67.392,0,,,,
163,7/7/23 3:00,67.392,0,,,,
164,7/7/23 3:15,66.879,0,,,,
165,7/7/23 3:30,66.879,0,,,,
166,7/7/23 3:45,67.05,0,,,,
167,7/7/23 4:00,67.05,0,,,,
168,7/7/23 4:15,67.392,0,,,,
169,7/7/23 4:30,67.735,0,,,,
170,7/7/23 4:45,67.906,0,,,,
171,7/7/23 5:00,68.077,0,,,,
172,7/7/23 5:15,68.077,0,,,,
173,7/7/23 5:30,67.392,0,,,,
174,7/7/23 5:45,67.392,0,,,,
175,7/7/23 6:00,67.05,0,,,,
176,7/7/23 6:15,67.906,0,,,,
177,7/7/23 6:30,68.248,2,,,,
178,7/7/23 6:45,68.421,3,,,,
179,7/7/23 7:00,68.763,3,,,,
180,7/7/23 7:15,68.934,4,,,,
181,7/7/23 7:30,67.392,5,,,,
182,7/7/23 7:45,68.592,5,,,,
183,7/7/23 8:00,69.107,12,,,,
184,7/7/23 8:15,68.934,14,,,,
185,7/7/23 8:30,68.077,19,,,,
186,7/7/23 8:45,66.708,20,,,,
187,7/7/23 9:00,66.708,16,,,,
188,7/7/23 9:15,66.879,22,,,,
189,7/7/23 9:30,66.708,18,,,,
190,7/7/23 9:45,66.537,14,,,,
191,7/7/23 10:00,66.537,17,,,,
192,7/7/23 10:15,66.708,11,,,,
193,7/7/23 10:30,66.708,10,,,,
194,7/7/23 10:45,66.708,12,,,,
195,7/7/23 11:00,66.366,8,,,,
196,7/7/23 11:15,66.193,15,,,,
197,7/7/23 11:30,65.851,18,,,,
198,7/7/23 11:45,65.338,43,,,,
199,7/7/23 12:00,64.996,40,,,,
200,7/7/23 12:15,65.167,39,,,,
201,7/7/23 12:30,67.221,53,,,,
202,7/7/23 12:45,67.564,27,,,,
203,7/7/23 13:00,67.735,29,,,,
204,7/7/23 13:15,67.221,19,,,,
205,7/7/23 13:30,66.022,21,,,,
206,7/7/23 13:45,65.338,38,,,,
207,7/7/23 14:00,65.509,67,,,,
208,7/7/23 14:15,66.366,70,,,,
209,7/7/23 14:30,67.392,72,,,,
210,7/7/23 14:45,67.906,71,,,,
211,7/7/23 15:00,67.906,59,,,,
212,7/7/23 15:15,67.221,73,,,,
213,7/7/23 15:30,67.564,100,,,,
214,7/7/23 15:45,67.906,43,,,,
215,7/7/23 16:00,68.248,21,,,,
216,7/7/23 16:15,68.592,15,,,,
217,7/7/23 16:30,68.763,19,,,,
218,7/7/23 16:45,68.934,19,,,,
219,7/7/23 17:00,69.278,16,,,,
220,7/7/23 17:15,69.622,18,,,,
221,7/7/23 17:30,69.449,12,,,,
222,7/7/23 17:45,69.449,11,,,,
223,7/7/23 18:00,70.651,5,,,,
224,7/7/23 18:15,70.137,3,,,,
225,7/7/23 18:30,69.964,3,,,,
226,7/7/23 18:45,68.763,1,,,,
227,7/7/23 19:00,67.564,0,,,,
228,7/7/23 19:15,66.879,0,,,,
229,7/7/23 19:30,67.221,0,,,,
230,7/7/23 19:45,67.221,1,,,,
231,7/7/23 20:00,68.592,0,,,,
232,7/7/23 20:15,69.278,0,,,,
233,7/7/23 20:30,69.449,0,,,,
234,7/7/23 20:45,69.622,0,,,,
235,7/7/23 21:00,69.622,0,,,,
236,7/7/23 21:15,69.622,0,,,,
237,7/7/23 21:30,69.449,0,,,,
238,7/7/23 21:45,69.793,0,,,,
239,7/7/23 22:00,69.622,0,,,,
240,7/7/23 22:15,69.793,0,,,,
241,7/7/23 22:30,69.793,0,,,,
242,7/7/23 22:45,69.964,0,,,,
243,7/7/23 23:00,69.964,0,,,,
244,7/7/23 23:15,69.964,0,,,,
245,7/7/23 23:30,70.137,0,,,,
246,7/7/23 23:45,70.48,0,,,,
247,7/8/23 0:00,70.48,0,,,,
248,7/8/23 0:15,70.48,0,,,,
249,7/8/23 0:30,70.824,0,,,,
250,7/8/23 0:45,67.392,0,,,,
251,7/8/23 1:00,67.05,0,,,,
252,7/8/23 1:15,67.221,0,,,,
253,7/8/23 1:30,67.221,0,,,,
254,7/8/23 1:45,67.392,0,,,,
255,7/8/23 2:00,67.392,0,,,,
256,7/8/23 2:15,67.392,0,,,,
257,7/8/23 2:30,67.906,0,,,,
258,7/8/23 2:45,68.248,0,,,,
259,7/8/23 3:00,68.421,0,,,,
260,7/8/23 3:15,68.421,0,,,,
261,7/8/23 3:30,67.564,0,,,,
262,7/8/23 3:45,66.193,0,,,,
263,7/8/23 4:00,67.05,0,,,,
264,7/8/23 4:15,67.564,0,,,,
265,7/8/23 4:30,68.248,0,,,,
266,7/8/23 4:45,68.763,0,,,,
267,7/8/23 5:00,68.592,0,,,,
268,7/8/23 5:15,68.763,0,,,,
269,7/8/23 5:30,69.107,0,,,,
270,7/8/23 5:45,69.449,0,,,,
271,7/8/23 6:00,69.449,1,,,,
272,7/8/23 6:15,69.449,2,,,,
273,7/8/23 6:30,69.793,3,,,,
274,7/8/23 6:45,69.964,6,,,,
275,7/8/23 7:00,68.934,4,,,,
276,7/8/23 7:15,67.564,4,,,,
277,7/8/23 7:30,67.564,6,,,,
278,7/8/23 7:45,68.248,5,,,,
279,7/8/23 8:00,69.107,6,,,,
280,7/8/23 8:15,69.278,5,,,,
281,7/8/23 8:30,68.934,8,,,,
282,7/8/23 8:45,68.248,9,,,,
283,7/8/23 9:00,67.392,5,,,,
284,7/8/23 9:15,67.564,8,,,,
285,7/8/23 9:30,67.735,14,,,,
286,7/8/23 9:45,67.906,10,,,,
287,7/8/23 10:00,68.077,12,,,,
288,7/8/23 10:15,68.592,12,,,,
289,7/8/23 10:30,68.763,10,,,,
290,7/8/23 10:45,69.107,12,,,,
291,7/8/23 11:00,67.735,8,,,,
292,7/8/23 11:15,68.934,15,,,,
293,7/8/23 11:30,69.107,20,,,,
294,7/8/23 11:45,69.278,25,,,,
295,7/8/23 12:00,69.793,38,,,,
296,7/8/23 12:15,71.339,25,,,,
297,7/8/23 12:30,71.856,37,,,,
298,7/8/23 12:45,71.683,45,,,,
299,7/8/23 13:00,70.308,36,,,,
300,7/8/23 13:15,68.421,30,,,,
301,7/8/23 13:30,67.392,27,,,,
302,7/8/23 13:45,67.735,29,,,,
303,7/8/23 14:00,68.077,26,,,,
304,7/8/23 14:15,67.05,27,,,,
305,7/8/23 14:30,68.248,27,,,,
306,7/8/23 14:45,69.622,25,,,,
307,7/8/23 15:00,68.421,27,,,,
308,7/8/23 15:15,67.221,28,,,,
309,7/8/23 15:30,68.763,31,,,,
310,7/8/23 15:45,69.449,25,,,,
311,7/8/23 16:00,68.421,21,,,,
312,7/8/23 16:15,68.248,22,,,,
313,7/8/23 16:30,68.763,20,,,,
314,7/8/23 16:45,69.622,18,,,,
315,7/8/23 17:00,70.137,15,,,,
316,7/8/23 17:15,70.651,12,,,,
317,7/8/23 17:30,71.168,9,,,,
318,7/8/23 17:45,70.995,7,,,,
319,7/8/23 18:00,71.168,6,,,,
320,7/8/23 18:15,71.339,3,,,,
321,7/8/23 18:30,71.512,1,,,,
322,7/8/23 18:45,69.964,1,,,,
323,7/8/23 19:00,67.564,0,,,,
324,7/8/23 19:15,68.421,0,,,,
325,7/8/23 19:30,68.763,0,,,,
326,7/8/23 19:45,68.421,0,,,,
327,7/8/23 20:00,68.248,0,,,,
328,7/8/23 20:15,67.564,0,,,,
329,7/8/23 20:30,67.906,0,,,,
330,7/8/23 20:45,68.248,0,,,,
331,7/8/23 21:00,71.168,0,,,,
332,7/8/23 21:15,71.683,0,,,,
333,7/8/23 21:30,71.856,0,,,,
334,7/8/23 21:45,68.592,0,,,,
335,7/8/23 22:00,68.592,0,,,,
336,7/8/23 22:15,68.763,0,,,,
337,7/8/23 22:30,70.651,0,,,,
338,7/8/23 22:45,70.651,0,,,,
339,7/8/23 23:00,70.651,0,,,,
340,7/8/23 23:15,70.824,0,,,,
341,7/8/23 23:30,70.995,0,,,,
342,7/8/23 23:45,70.995,0,,,,
343,7/9/23 0:00,70.824,0,,,,
344,7/9/23 0:15,68.248,0,,,,
345,7/9/23 0:30,68.592,0,,,,
346,7/9/23 0:45,69.278,0,,,,
347,7/9/23 1:00,69.622,0,,,,
348,7/9/23 1:15,69.793,0,,,,
349,7/9/23 1:30,69.964,0,,,,
350,7/9/23 1:45,68.934,0,,,,
351,7/9/23 2:00,68.592,0,,,,
352,7/9/23 2:15,68.248,0,,,,
353,7/9/23 2:30,68.248,0,,,,
354,7/9/23 2:45,68.421,0,,,,
355,7/9/23 3:00,68.421,0,,,,
356,7/9/23 3:15,68.934,0,,,,
357,7/9/23 3:30,69.107,0,,,,
358,7/9/23 3:45,69.278,0,,,,
359,7/9/23 4:00,69.449,0,,,,
360,7/9/23 4:15,69.622,0,,,,
361,7/9/23 4:30,68.592,0,,,,
362,7/9/23 4:45,68.592,0,,,,
363,7/9/23 5:00,67.906,0,,,,
364,7/9/23 5:15,69.107,0,,,,
365,7/9/23 5:30,69.278,0,,,,
366,7/9/23 5:45,69.964,0,,,,
367,7/9/23 6:00,70.308,0,,,,
368,7/9/23 6:15,70.48,1,,,,
369,7/9/23 6:30,70.48,2,,,,
370,7/9/23 6:45,69.964,3,,,,
371,7/9/23 7:00,70.137,4,,,,
372,7/9/23 7:15,70.651,4,,,,
373,7/9/23 7:30,70.651,4,,,,
374,7/9/23 7:45,69.622,3,,,,
375,7/9/23 8:00,67.906,3,,,,
376,7/9/23 8:15,67.906,1,,,,
377,7/9/23 8:30,67.735,3,,,,
378,7/9/23 8:45,67.735,4,,,,
379,7/9/23 9:00,68.248,6,,,,
380,7/9/23 9:15,68.592,6,,,,
381,7/9/23 9:30,68.763,6,,,,
382,7/9/23 9:45,68.077,6,,,,
383,7/9/23 10:00,68.934,5,,,,
384,7/9/23 10:15,69.449,10,,,,
385,7/9/23 10:30,69.964,10,,,,
386,7/9/23 10:45,70.48,14,,,,
387,7/9/23 11:00,70.48,7,,,,
388,7/9/23 11:15,70.308,6,,,,
389,7/9/23 11:30,67.906,18,,,,
390,7/9/23 11:45,68.421,10,,,,
391,7/9/23 12:00,68.592,17,,,,
392,7/9/23 12:15,69.793,17,,,,
393,7/9/23 12:30,69.793,18,,,,
394,7/9/23 12:45,69.793,20,,,,
395,7/9/23 13:00,70.137,16,,,,
396,7/9/23 13:15,70.308,13,,,,
397,7/9/23 13:30,70.48,18,,,,
398,7/9/23 13:45,70.651,28,,,,
399,7/9/23 14:00,70.824,41,,,,
400,7/9/23 14:15,70.824,24,,,,
401,7/9/23 14:30,67.05,27,,,,
402,7/9/23 14:45,67.906,18,,,,
403,7/9/23 15:00,70.137,13,,,,
404,7/9/23 15:15,69.278,15,,,,
405,7/9/23 15:30,68.421,9,,,,
406,7/9/23 15:45,68.421,7,,,,
407,7/9/23 16:00,67.906,8,,,,
408,7/9/23 16:15,67.564,10,,,,
409,7/9/23 16:30,68.592,4,,,,
410,7/9/23 16:45,69.622,4,,,,
411,7/9/23 17:00,69.449,4,,,,
412,7/9/23 17:15,69.107,3,,,,
413,7/9/23 17:30,69.107,3,,,,
414,7/9/23 17:45,69.449,2,,,,
415,7/9/23 18:00,70.137,1,,,,
416,7/9/23 18:15,70.48,0,,,,
417,7/9/23 18:30,70.651,0,,,,
418,7/9/23 18:45,70.651,0,,,,
419,7/9/23 19:00,70.824,0,,,,
420,7/9/23 19:15,71.168,0,,,,
421,7/9/23 19:30,71.168,0,,,,
422,7/9/23 19:45,70.48,0,,,,
423,7/9/23 20:00,70.308,0,,,,
424,7/9/23 20:15,70.308,0,,,,
425,7/9/23 20:30,70.308,0,,,,
426,7/9/23 20:45,69.107,0,,,,
427,7/9/23 21:00,68.421,0,,,,
428,7/9/23 21:15,68.421,0,,,,
429,7/9/23 21:30,68.592,0,,,,
430,7/9/23 21:45,68.763,0,,,,
431,7/9/23 22:00,70.651,0,,,,
432,7/9/23 22:15,71.339,0,,,,
433,7/9/23 22:30,71.512,0,,,,
434,7/9/23 22:45,71.512,0,,,,
435,7/9/23 23:00,70.308,0,,,,
436,7/9/23 23:15,70.48,0,,,,
437,7/9/23 23:30,70.48,0,,,,
438,7/9/23 23:45,69.964,0,,,,
439,7/10/23 0:00,70.48,0,,,,
440,7/10/23 0:15,70.824,0,,,,
441,7/10/23 0:30,71.168,0,,,,
442,7/10/23 0:45,71.168,0,,,,
443,7/10/23 1:00,71.168,0,,,,
444,7/10/23 1:15,70.995,0,,,,
445,7/10/23 1:30,71.168,0,,,,
446,7/10/23 1:45,71.339,0,,,,
447,7/10/23 2:00,71.339,0,,,,
448,7/10/23 2:15,71.512,0,,,,
449,7/10/23 2:30,71.168,0,,,,
450,7/10/23 2:45,67.906,0,,,,
451,7/10/23 3:00,67.564,0,,,,
452,7/10/23 3:15,68.248,0,,,,
453,7/10/23 3:30,68.421,0,,,,
454,7/10/23 3:45,68.592,0,,,,
455,7/10/23 4:00,69.964,0,,,,
456,7/10/23 4:15,69.449,0,,,,
457,7/10/23 4:30,69.449,0,,,,
458,7/10/23 4:45,69.793,0,,,,
459,7/10/23 5:00,70.48,0,,,,
460,7/10/23 5:15,68.421,0,,,,
461,7/10/23 5:30,68.077,0,,,,
462,7/10/23 5:45,68.077,0,,,,
463,7/10/23 6:00,69.107,0,,,,
464,7/10/23 6:15,70.824,0,,,,
465,7/10/23 6:30,70.824,2,,,,
466,7/10/23 6:45,70.824,0,,,,
467,7/10/23 7:00,70.824,3,,,,
468,7/10/23 7:15,70.824,1,,,,
469,7/10/23 7:30,70.824,3,,,,
470,7/10/23 7:45,70.995,14,,,,
471,7/10/23 8:00,70.824,7,,,,
472,7/10/23 8:15,69.793,14,,,,
473,7/10/23 8:30,69.449,10,,,,
474,7/10/23 8:45,68.763,15,,,,
475,7/10/23 9:00,68.421,8,,,,
476,7/10/23 9:15,68.077,8,,,,
477,7/10/23 9:30,68.077,6,,,,
478,7/10/23 9:45,68.592,5,,,,
479,7/10/23 10:00,69.622,7,,,,
480,7/10/23 10:15,70.308,7,,,,
481,7/10/23 10:30,70.824,7,,,,
482,7/10/23 10:45,70.824,2,,,,
483,7/10/23 11:00,70.824,4,,,,
484,7/10/23 11:15,70.824,0,,,,
485,7/10/23 11:30,70.824,10,,,,
486,7/10/23 11:45,70.48,3,,,,
487,7/10/23 12:00,70.995,1,,,,
488,7/10/23 12:15,70.48,7,,,,
489,7/10/23 12:30,70.651,6,,,,
490,7/10/23 12:45,70.651,3,,,,
491,7/10/23 13:00,70.651,5,,,,
492,7/10/23 13:15,70.651,6,,,,
493,7/10/23 13:30,70.824,2,,,,
494,7/10/23 13:45,70.824,4,,,,
495,7/10/23 14:00,70.824,3,,,,
496,7/10/23 14:15,70.824,2,,,,
497,7/10/23 14:30,70.824,1,,,,
498,7/10/23 14:45,70.824,4,,,,
499,7/10/23 15:00,70.824,3,,,,
500,7/10/23 15:15,70.824,7,,,,
501,7/10/23 15:30,70.824,8,,,,
502,7/10/23 15:45,70.995,8,,,,
503,7/10/23 16:00,70.308,8,,,,
504,7/10/23 16:15,69.964,6,,,,
505,7/10/23 16:30,70.308,5,,,,
506,7/10/23 16:45,69.964,6,,,,
507,7/10/23 17:00,70.137,4,,,,
508,7/10/23 17:15,70.137,6,,,,
509,7/10/23 17:30,70.48,5,,,,
510,7/10/23 17:45,70.651,3,,,,
511,7/10/23 18:00,70.824,2,,,,
512,7/10/23 18:15,70.651,4,,,,
513,7/10/23 18:30,70.308,6,,,,
514,7/10/23 18:45,70.48,1,,,,
515,7/10/23 19:00,70.308,0,,,,
516,7/10/23 19:15,70.651,0,,,,
517,7/10/23 19:30,70.824,1,,,,
518,7/10/23 19:45,70.824,0,,,,
519,7/10/23 20:00,70.824,0,,,,
520,7/10/23 20:15,70.824,0,,,,
521,7/10/23 20:30,70.824,0,,,,
522,7/10/23 20:45,70.824,0,,,,
523,7/10/23 21:00,70.824,0,,,,
524,7/10/23 21:15,70.824,0,,,,
525,7/10/23 21:30,70.995,0,,,,
526,7/10/23 21:45,70.995,0,,,,
527,7/10/23 22:00,70.824,0,,,,
528,7/10/23 22:15,69.278,0,,,,
529,7/10/23 22:30,68.934,0,,,,
530,7/10/23 22:45,68.934,0,,,,
531,7/10/23 23:00,69.107,0,,,,
532,7/10/23 23:15,68.934,0,,,,
533,7/10/23 23:30,69.449,0,,,,
534,7/10/23 23:45,69.964,0,,,,
535,7/11/23 0:00,70.137,0,,,,
536,7/11/23 0:15,70.308,0,,,,
537,7/11/23 0:30,70.308,0,,,,
538,7/11/23 0:45,70.48,0,,,,
539,7/11/23 1:00,70.48,0,,,,
540,7/11/23 1:15,70.48,0,,,,
541,7/11/23 1:30,70.48,0,,,,
542,7/11/23 1:45,70.48,0,,,,
543,7/11/23 2:00,70.48,0,,,,
544,7/11/23 2:15,70.48,0,,,,
545,7/11/23 2:30,70.651,0,,,,
546,7/11/23 2:45,70.651,0,,,,
547,7/11/23 3:00,70.824,0,,,,
548,7/11/23 3:15,70.824,0,,,,
549,7/11/23 3:30,70.824,0,,,,
550,7/11/23 3:45,70.651,0,,,,
551,7/11/23 4:00,70.137,0,,,,
552,7/11/23 4:15,70.308,0,,,,
553,7/11/23 4:30,70.651,0,,,,
554,7/11/23 4:45,70.137,0,,,,
555,7/11/23 5:00,69.964,0,,,,
556,7/11/23 5:15,70.137,0,,,,
557,7/11/23 5:30,69.964,0,,,,
558,7/11/23 5:45,69.964,0,,,,
559,7/11/23 6:00,70.137,1,,,,
560,7/11/23 6:15,70.137,2,,,,
561,7/11/23 6:30,70.48,3,,,,
562,7/11/23 6:45,70.308,4,,,,
563,7/11/23 7:00,70.48,6,,,,
564,7/11/23 7:15,70.48,10,,,,
565,7/11/23 7:30,70.48,12,,,,
566,7/11/23 7:45,70.651,15,,,,
567,7/11/23 8:00,70.651,18,,,,
568,7/11/23 8:15,70.651,22,,,,
569,7/11/23 8:30,70.651,25,,,,
570,7/11/23 8:45,70.651,29,,,,
571,7/11/23 9:00,70.824,34,,,,
572,7/11/23 9:15,70.995,36,,,,
573,7/11/23 9:30,70.48,39,,,,
574,7/11/23 9:45,70.308,41,,,,
575,7/11/23 10:00,69.793,33,,,,
576,7/11/23 10:15,69.449,35,,,,
577,7/11/23 10:30,69.622,35,,,,
578,7/11/23 10:45,69.622,39,,,,
579,7/11/23 11:00,69.107,28,,,,
580,7/11/23 11:15,69.107,39,,,,
581,7/11/23 11:30,69.449,55,,,,
582,7/11/23 11:45,70.48,55,,,,
583,7/11/23 12:00,71.168,64,,,,
584,7/11/23 12:15,69.964,67,,,,
585,7/11/23 12:30,69.793,59,,,,
586,7/11/23 12:45,69.964,63,,,,
587,7/11/23 13:00,69.793,50,,,,
588,7/11/23 13:15,69.964,56,,,,
589,7/11/23 13:30,69.964,58,,,,
590,7/11/23 13:45,69.449,42,,,,
591,7/11/23 14:00,68.934,51,,,,
592,7/11/23 14:15,68.763,41,,,,
593,7/11/23 14:30,68.592,37,,,,
594,7/11/23 14:45,68.592,27,,,,
595,7/11/23 15:00,68.421,22,,,,
596,7/11/23 15:15,68.421,20,,,,
597,7/11/23 15:30,68.421,5,,,,
598,7/11/23 15:45,68.248,24,,,,
599,7/11/23 16:00,68.421,33,,,,
600,7/11/23 16:15,69.793,36,,,,
601,7/11/23 16:30,70.137,32,,,,
602,7/11/23 16:45,69.793,18,,,,
603,7/11/23 17:00,68.592,17,,,,
604,7/11/23 17:15,68.592,16,,,,
605,7/11/23 17:30,69.278,15,,,,
606,7/11/23 17:45,70.308,12,,,,
607,7/11/23 18:00,69.622,9,,,,
608,7/11/23 18:15,68.763,7,,,,
609,7/11/23 18:30,70.651,5,,,,
610,7/11/23 18:45,70.824,4,,,,
611,7/11/23 19:00,69.278,2,,,,
612,7/11/23 19:15,68.934,1,,,,
613,7/11/23 19:30,69.793,1,,,,
614,7/11/23 19:45,70.651,0,,,,
615,7/11/23 20:00,71.168,0,,,,
616,7/11/23 20:15,71.168,0,,,,
617,7/11/23 20:30,71.339,0,,,,
618,7/11/23 20:45,71.339,0,,,,
619,7/11/23 21:00,71.512,0,,,,
620,7/11/23 21:15,71.512,0,,,,
